Gene_Upper,Zscore_Delta_human,Zscore_Old_human,Zscore_Young_human,Zscore_Delta_mouse,Zscore_Old_mouse,Zscore_Young_mouse
AEBP1,-0.1935261298042044,-0.9375521712923198,-0.7440260414881154,0.1144157602062251,0.2274541857162672,0.1130384255100421
AGRN,-0.7970277057539259,-1.880094284157544,-1.0830665784036182,0.0743294326906303,0.2269904053027422,0.1526609726121119
AMBP,-0.0864661592455726,-1.754532488681109,-1.668066329435536,0.3327505845835513,-0.7228482564627606,-1.055598841046312
ANXA1,0.0753513694396565,0.6226370925063112,0.5472857230666546,-0.0173290035707271,1.5449364196848905,1.5622654232556177
ANXA11,0.0766027811892083,-0.7332471240851778,-0.8098499052743862,-0.0886022329977203,1.1919640736386448,1.280566306636365
ANXA2,0.0606416122132681,-0.0560900495923425,-0.1167316618056106,0.0716781722442574,2.315417493732232,2.243739321487974
ANXA4,0.7606970094368228,0.0483194461945923,-0.7123775632422306,-0.1432710041874589,1.4958677822132993,1.6391387864007585
ANXA5,1.5315816516672176,1.9912126889114992,0.4596310372442818,-0.2144226069708943,2.355758393119255,2.570181000090149
ANXA6,1.0025796647010896,1.0870063934216785,0.0844267287205889,-0.122201266710105,0.1515127546707698,0.2737140213808749
ANXA6,1.0025796647010896,1.0870063934216785,0.0844267287205889,-0.1679521513310822,1.7035181352913946,1.8714702866224768
ANXA7,0.3946437740798625,0.5782826826419367,0.1836389085620741,-0.1504345420431387,1.368075527483793,1.5185100695269318
BGN,-0.0942239208734576,-0.413149590948916,-0.3189256700754584,0.1043682609143756,1.2395591878947974,1.1351909269804217
COL12A1,-0.3980648815395173,0.1818842251617971,0.5799491067013145,0.0633099736245816,1.1324739319688657,1.0691639583442838
COL18A1,0.604497027128243,1.1585971149481007,0.5541000878198576,0.0696406157691991,0.1054862772205028,0.0358456614513036
COL1A1,-0.6728195819788516,-0.4448562339886413,0.2279633479902102,0.1280880787622673,1.752540444677413,1.6244523659151455
COL1A2,-0.6709586875427094,0.2539546895677746,0.924913377110484,0.1290458427129666,1.715825766506196,1.5867799237932294
COL2A1,1.392619769549817,0.5203428266883254,-0.8722769428614915,0.0614611873352572,-0.6709807256375084,-0.7324419129727657
COL3A1,-0.6515863371677408,-0.4695629922857587,0.182023344881982,0.024554291832711,0.2742774392184952,0.2497231473857841
COL4A1,-0.144003928356745,-0.9846323929723516,-0.8406284646156067,-0.0106462440226535,0.4206455618671218,0.4312918058897754
COL4A2,-0.8726792783741519,2.706356676867334,3.579035955241486,-0.0017271963730299,0.475761808444964,0.477489004817994
COL5A1,-0.5432416908638844,0.1310314799288952,0.6742731707927797,0.0748355646944789,0.2870671591486463,0.2122315944541673
COL5A2,-0.7350926235261352,-0.4669680194372529,0.2681246040888824,0.0543958370325945,0.1152240114615541,0.0608281744289596
COL6A1,-0.4651261090186466,-0.7715829414605817,-0.306456832441935,0.05808134140279,1.469211620824683,1.411130279421893
COL6A2,-0.2035299537339078,-0.2436259025095613,-0.0400959487756535,0.0831724481749278,1.2834963662399377,1.2003239180650096
COL6A3,-0.18564258797952,-0.3350169210649174,-0.1493743330853973,-0.0823876977982205,1.1410845013794786,1.2234721991776991
COL6A6,0.3095599982504978,-0.0825631339460054,-0.3921231321965033,-0.0865980550384117,-0.4066075533002461,-0.3200094982618344
CSTB,1.898740228986432,3.4085912200642143,1.5098509910777824,0.1324552795345516,-0.5217649995327882,-0.6542202790673398
CTSD,0.4680146706199902,0.0046410376605,-0.4633736329594901,0.1781813421635012,0.8151888619172437,0.6370075197537425
CTSZ,0.2633925783776336,-1.358940871498404,-1.6223334498760378,-0.0174732818594044,-0.3015490993625289,-0.2840758175031245
DCN,-0.5889732486979755,-1.8508081620101229,-1.2618349133121471,0.2063613276557199,1.179774810847308,0.9734134831915882
DPT,0.321216542327823,1.1479119326307243,0.8266953903029013,0.1566991041710942,0.6609148088874244,0.5042157047163301
EFEMP1,0.3724681435696664,1.1625440904571724,0.790075946887506,0.3970718350537706,0.8981248761040618,0.5010530410502911
EMILIN1,0.0470148158262261,0.5226979280970538,0.4756831122708276,-0.0210897124512114,0.699565362604472,0.7206550750556835
FBLN1,0.2640012337705097,-1.1556825360284748,-1.4196837697989846,-0.2810294464316237,-0.1240716663344244,0.1569577800971993
FBLN5,-0.3871992222399153,-0.887440846873277,-0.5002416246333616,-0.4339118768282584,-1.3084831325958777,-0.8745712557676193
FBN1,0.0429778314972622,0.3378006610173919,0.2948228295201296,0.0277394879923893,1.0640342863923336,1.0362947983999442
FGA,0.062363402424954,0.3076422790889602,0.2452788766640062,0.1758118202345415,1.008800992167343,0.8329891719328018
FGB,-0.0323990238442088,0.2299675455899904,0.2623665694341992,0.1803570771894951,1.0849685371055375,0.9046114599160424
FGG,0.4215569238604847,0.1293087668614003,-0.2922481569990843,0.1625512664605102,0.9506704378496208,0.7881191713891106
FN1,-0.3833676932996703,1.1357002956965805,1.5190679889962506,-0.0088002806738439,0.9261928723049004,0.9349931529787444
GPC1,-0.3166694381527667,-0.2252212211302434,0.0914482170225232,0.2319624380311725,-0.6488930743316892,-0.8808555123628617
HRG,0.5754222565995448,0.7970890487083746,0.2216667921088298,0.2750326316675361,-0.029157322164409,-0.3041899538319452
HSPG2,0.1142144861329593,0.0968607030078168,-0.0173537831251425,-0.0055993925965895,1.0205381177112465,1.0261375103078358
HSPG2,0.1142144861329593,0.0968607030078168,-0.0173537831251425,0.2288963753129411,-0.0187783178807563,-0.2476746931936975
ITIH1,0.3550071221378061,-0.8647402860724835,-1.2197474082102897,-0.0419938036015333,-0.8301643646808998,-0.7881705610793664
ITIH4,0.5798955351333068,1.1372267503133475,0.5573312151800409,-0.0482530712790053,-0.374083688970907,-0.3258306176919017
KNG1,-0.0446407945855935,-0.2773823560346605,-0.232741561449067,0.1036923763003376,-1.128128760066348,-1.2318211363666856
LAMA4,-0.0307868958506452,-1.4758018756592617,-1.4450149798086165,-0.1009482839888391,0.3632347818290062,0.4641830658178453
LAMA5,0.3848068437738596,-0.1420294445163843,-0.526836288290244,0.0180996721700286,0.2158997289873463,0.1978000568173177
LAMB1,-2.201500554755228,0.3888932776900707,2.590393832445299,-0.1020628402248169,0.6908878276447917,0.7929506678696087
LAMB2,0.0828588643734035,0.2901098574906524,0.2072509931172488,0.0255361358391796,0.8060118809126092,0.7804757450734295
LAMC1,-0.2273582362788051,0.5062558312250093,0.7336140675038144,-0.0424291960120078,0.4913269395659338,0.5337561355779417
LAMC1,-0.2273582362788051,0.5062558312250093,0.7336140675038144,-0.0689605408148521,1.011698671292112,1.080659212106964
LGALS1,0.4038834003683372,0.7781173984714003,0.374233998103063,0.0425756565619677,1.145186273212366,1.1026106166503984
LGALS3,0.8440328829441595,1.5474069123334502,0.7033740293892907,0.0716035697275948,0.83314476165835,0.7615411919307552
LMAN1,0.2320812999976884,-0.510515589004193,-0.7425968890018815,0.057083154491081,1.2277236871340294,1.1706405326429483
LUM,-0.0342240491195041,-0.6588433647649976,-0.6246193156454934,0.242540219542416,0.3794895152653244,0.1369492957229083
NID1,0.1893251767785422,-1.1281845464321247,-1.317509723210667,0.006005634173732,1.0809721397119216,1.0749665055381896
NID2,-0.5306108291081524,-1.747707055894703,-1.2170962267865506,-0.1609744359273001,0.7040150471768243,0.8649894831041244
OGN,0.1421114583749308,0.0947454730388667,-0.047365985336064,0.1948026089753183,0.0438973812727865,-0.1509052277025318
PLG,0.2899869059713602,0.983432813258212,0.6934459072868517,-0.0351140508547458,0.4164901343837288,0.4516041852384747
PLXNB2,0.2778256620441547,1.1264761485123955,0.848650486468241,0.0606055059131795,0.3937831716417616,0.333177665728582
POSTN,-0.0800839473643912,-1.839926721242019,-1.7598427738776277,0.2014347217063158,-0.7900889454964793,-0.9915236672027952
PRELP,0.1438678035683777,-0.1175189446699941,-0.2613867482383719,0.056874265327361,1.0798869429880174,1.0230126776606565
S100A10,0.6401630000111299,0.7581644559807893,0.1180014559696593,0.2188220334986502,0.7037741075058391,0.4849520740071889
S100A13,-0.561328768132521,0.138358462089382,0.699687230221903,0.1931146410069723,0.1870350517792141,-0.0060795892277582
S100A16,-0.0123602252484678,1.0594865973308027,1.0718468225792706,0.2145081793312901,-0.6733263207089382,-0.8878345000402283
S100A6,0.1851341882241547,0.7986373098196669,0.6135031215955121,0.2359984364062572,1.5189106723352086,1.282912235928951
S100A9,-0.3487525010239158,-1.004585335462962,-0.6558328344390463,-0.1561848563716831,-1.1381914820564976,-0.9820066256848144
SERPINC1,-0.981038801977502,0.3023433009193224,1.2833821028968244,0.0655333698499168,-0.8677193573740798,-0.9332527272239968
SERPINF2,0.6400139731745711,0.1264957290676416,-0.5135182441069295,-0.0481038428730089,-1.4941812915837382,-1.4460774487107293
SERPINH1,-0.2344822552454033,-0.7845578057031097,-0.5500755504577064,-0.2248526977889051,1.1236225550990682,1.348475252887973
SPARC,-0.1345997173030439,-0.2758340949233674,-0.1412343776203235,-0.1041992660105798,-0.7135912450982372,-0.6093919790876574
TGFBI,0.2235516351547585,-0.8922818886578844,-1.115833523812643,0.1374576164300369,1.2121799648496832,1.0747223484196462
THBS1,-0.6324459538944665,-1.091200731717287,-0.4587547778228205,-0.4769551140771677,0.243602531673053,0.7205576457502207
TNXB,-0.4194222403052501,-0.733770479953784,-0.3143482396485338,0.2586295859043133,0.6604689869420527,0.4018394010377394
VCAN,-0.3748430388692731,-0.2205328248073126,0.1543102140619604,-0.2113628127026569,0.3591822416372027,0.5705450543398596
VTN,1.766139652316271,1.4605734511338728,-0.3055662011823981,-0.121961579750117,0.3265183337054302,0.4484799134555473
