Protein,Human_Avg_Delta,Human_Std,Human_Count,Mouse_Avg_Delta,Mouse_Std,Mouse_Count,Direction_Human,Direction_Mouse,Direction_Match
A2M,0.4526963934658959,0.5945053046259257,8,0.150456705868355,0.0646097971047369,3,Stable,Stable,True
ACAN,0.04174398552878804,0.12334353054814579,5,0.1179114095380627,0.09005271360789353,2,Stable,Stable,True
ADAMTSL4,0.28436006551304005,0.6377814787819664,3,-0.1127822879683673,0.07545803953474034,2,Stable,Stable,True
ADIPOQ,0.4268784384430349,0.2757964151573623,2,-0.16606423838464235,0.0857936869283886,6,Stable,Stable,True
AEBP1,-0.18017073677629122,0.488425278841122,8,0.09167591616590051,0.19846046719877264,5,Stable,Stable,True
AGRN,-0.18206901919041227,0.3459531956057314,10,-0.030282967587935476,0.1930840532660855,8,Stable,Stable,True
AGT,-0.18924588214028776,0.9496421422976391,8,0.05938670335507806,0.14864358579515188,3,Stable,Stable,True
AMBP,0.6179412953407063,0.696355053324007,8,0.4187678254194361,0.3184630878795003,7,Up,Stable,False
ANGPTL2,0.49579426681827665,0.13768953554024502,4,0.6060683479185923,0.1799108090217334,4,Stable,Up,False
ANXA1,-0.24313303845827236,0.3585635159412127,8,-0.09980327501913704,0.24280327685807154,10,Stable,Stable,True
ANXA11,-0.2023888586022872,0.37645478549891065,8,-0.10934395283625888,0.1040058762965999,6,Stable,Stable,True
ANXA2,-0.22327288469154202,0.44111356305422633,8,-0.19745574963717077,0.21526735485042942,10,Stable,Stable,True
ANXA3,-0.4224324093343525,0.0911141604732598,2,-0.07594432923141455,0.1148513106855236,5,Stable,Stable,True
ANXA4,-0.17400350633305817,0.4730437191932771,8,0.0467552117494583,0.16796531383831131,6,Stable,Stable,True
ANXA5,0.11697529462000113,0.8052265752315331,7,0.030355841682335606,0.36362679988885044,10,Stable,Stable,True
ANXA6,-0.07337344173423746,0.5864867178171753,8,-0.06515602512342758,0.12634346994686957,9,Stable,Stable,True
ANXA7,-0.2543352587880978,0.4989956504011005,8,-0.10858801078068565,0.06300869806927499,6,Stable,Stable,True
ASPN,-0.16071872356593267,0.2689199054856895,7,0.4126795693589933,0.6040202114096187,8,Stable,Stable,True
BCAN,-0.08641446358761873,0.3716508431269875,3,-0.06733732997069095,0.019885903297445374,2,Stable,Stable,True
BGN,0.06494913831333936,0.3337431910080351,8,0.13789025893583065,0.18662157024653225,11,Stable,Stable,True
C1QA,-0.1174171882929,0.20940472909453658,3,-0.04513822991477356,0.31508044985580214,3,Stable,Stable,True
C1QB,0.24496743863676307,0.5656644034313659,6,0.05284605950847114,0.09219415475476225,5,Stable,Stable,True
C1QC,0.12993291100059914,0.23691018140010775,6,-0.08157330872994206,0.2802494835100577,3,Stable,Stable,True
CD109,-0.5215845234201114,0.47417159673165993,5,-0.16248874846004804,0.2723082238233514,2,Down,Stable,False
CHAD,-0.19396339654720707,0.16616794040524266,3,-0.39120749173724817,0.39623936187795633,4,Stable,Stable,True
CHADL,-0.130614334346791,0.2629486762091166,3,-0.11533518823638281,0.10780753151262125,2,Stable,Stable,True
CILP2,0.0632938628081539,0.05222529722357008,3,-0.31059581376725104,1.0225515277148576,3,Stable,Stable,True
COL11A1,-0.3995032134135438,0.17703608908180687,5,-0.3473611556005225,0.3663204927777193,3,Stable,Stable,True
COL11A2,-0.5354841120873555,0.7162884479644802,5,0.5480735216082906,1.8637486260376672,2,Down,Up,False
COL12A1,-0.21271594336702204,0.37469635783638955,10,0.08491789490528431,0.526779710620329,9,Stable,Stable,True
COL14A1,-0.3807757585407655,0.3548943049428799,8,-1.1321262958691234,0.40111588024838984,7,Stable,Down,False
COL15A1,-0.33392250216245517,0.40088570944460267,7,-0.2558105047526262,0.22468010956865858,8,Stable,Stable,True
COL18A1,0.12836395254627464,0.7556403458513883,12,0.08143449363388573,0.1069646524217808,9,Stable,Stable,True
COL1A1,-0.05940191925367057,0.38948489646887813,8,-0.059684066908149404,0.43974442650238066,10,Stable,Stable,True
COL1A2,-0.19006324886830506,0.2896711896935735,8,-0.009398625057597532,0.46542593663489523,10,Stable,Stable,True
COL2A1,0.11355528005198057,0.8026981813558112,6,0.040566572268517086,0.9092148171871975,6,Stable,Stable,True
COL3A1,-0.24409723861614108,0.3641056484017627,10,-0.23311206576227192,0.40595784486683184,10,Stable,Stable,True
COL4A1,0.047400373923812154,0.21621338182466546,6,0.27143571270801725,0.22398422475603266,10,Stable,Stable,True
COL4A2,-0.029880851256382433,0.42904213424097226,7,0.18556267998988407,0.18823229587655524,10,Stable,Stable,True
COL4A3,-0.3144795458809863,0.29170054198301704,4,0.5503172926340834,0.11984758305008088,3,Stable,Up,False
COL4A4,-0.1438536940642979,0.1558147748168692,2,0.3092273610429659,0.09510709020522871,2,Stable,Stable,True
COL4A5,0.27394385251958375,0.6274427038078301,4,0.09213243199151175,0.09472630098493354,2,Stable,Stable,True
COL5A1,-0.39481216312967704,0.31998227955176584,8,-0.1276405469101776,0.481460109812467,7,Stable,Stable,True
COL5A2,-0.37021545536941874,0.3476151364268817,10,-0.016586717467053202,0.53780767910271,8,Stable,Stable,True
COL6A1,-0.23430799053698234,0.1634466242742606,8,0.07080876804640193,0.41710331181519567,10,Stable,Stable,True
COL6A2,-0.15430161122764258,0.3110320686536461,8,0.09499525361963322,0.3723390354553763,10,Stable,Stable,True
COL6A3,-0.28103339061754185,0.3155262862447244,8,0.00802371236390307,0.08376952569898097,4,Stable,Stable,True
COL6A6,-0.013314555227181012,0.37765569069948446,5,-0.018708596002950537,0.5249037983501763,8,Stable,Stable,True
COMP,0.2967765920416349,0.12555727189015267,3,0.7606552753374543,0.45302993924437157,4,Stable,Up,False
CPN2,0.17286787935759046,0.6970085554828092,5,0.057874444410764704,0.20876565302858222,3,Stable,Stable,True
CSPG4,-0.2667594842421436,0.33121681734960867,5,-0.16006273955020517,0.15952158377053005,5,Stable,Stable,True
CST3,0.05535741917194828,0.18404679328870863,6,-0.07728091958508464,0.2200810619153844,9,Stable,Stable,True
CSTB,0.5237034207287398,0.8035793723714345,5,0.19831588875001813,0.2955509755523142,9,Up,Stable,False
CTSB,0.17319559250266928,0.4534178585548695,7,0.29944733092727577,0.34875397375641204,10,Stable,Stable,True
CTSC,0.030199971941038278,0.18737242129071702,3,0.04300731558169426,0.3152506887233869,6,Stable,Stable,True
CTSD,0.35673722730632784,0.35568701156527865,6,0.3406239855236033,0.3439748072344729,10,Stable,Stable,True
CTSF,0.07610451412869046,0.6599045533376794,2,0.7774724633378417,0.785945048011989,7,Stable,Up,False
CTSZ,0.3718366432846391,0.24045168052753452,4,-0.018615527669182827,0.14342545362765313,9,Stable,Stable,True
CXCL12,0.43524674423607157,0.9137175816376066,7,0.5657850903935682,0.21026299638166565,2,Stable,Up,False
DCN,0.03162510678876691,0.3306563657787956,8,-0.0689222858644474,0.1861071209220829,10,Stable,Stable,True
DPT,0.009547146217448732,0.26678299707261316,8,0.04154932062762677,0.29894433735042897,8,Stable,Stable,True
DSPP,-0.2166400898539064,0.2935091418219331,4,-0.0826863000449821,0.06611397212498295,4,Stable,Stable,True
ECM1,0.5230263321353391,0.5445438594564033,7,-0.06626705430977728,0.18362458006326882,8,Up,Stable,False
EDIL3,-0.050960107988062164,0.15071124700361543,3,0.058942434229655505,0.03110531635524491,2,Stable,Stable,True
EFEMP1,0.29506366333491474,0.2694660387998127,8,-0.21666865866730342,0.3224242136886354,7,Stable,Stable,True
EFEMP2,0.054247319259626225,0.13738913486862514,3,-0.061533287768850496,0.0320578579297096,2,Stable,Stable,True
ELN,0.8678431513062175,1.0840676616589233,6,-0.6035438442270636,0.5636569597758507,6,Up,Down,False
EMILIN1,-0.1258040036203068,0.24594694034395498,8,-0.14793625239571367,0.11554717258898267,6,Stable,Stable,True
EMILIN2,-0.5549444325649479,0.14730093291841892,4,-0.21334547619451272,0.15081603188002168,4,Down,Stable,False
F10,0.27598877920096004,0.30222729114266106,3,0.061078587797515446,0.10969061523448016,4,Stable,Stable,True
F12,0.7082760396258094,0.49597241872740966,3,0.07272808073891895,0.058320216785300694,4,Up,Stable,False
F13A1,0.19198984504920671,0.8305278036512843,7,-0.11065898226188922,0.2125458008303445,9,Stable,Stable,True
F2,0.7494539675148542,1.1156206692665938,8,0.11699565194258132,0.1497069101626592,6,Up,Stable,False
F9,-0.15023036211988308,0.2442436762931092,4,0.23728302864210196,0.2546268613166959,2,Stable,Stable,True
FBLN1,0.0837734078718199,0.2689566586748487,9,-0.09746959695703306,0.12716167546084528,8,Stable,Stable,True
FBLN2,-0.2498762109792548,0.528698518945523,5,-0.09575555645214666,0.20779154283263748,7,Stable,Stable,True
FBLN5,-0.1341880647517857,0.4599500984820796,7,-0.4971408719424292,0.3493641940378327,9,Stable,Stable,True
FBN1,-0.10195928985589078,0.39242139034594403,10,-0.1323381002311389,0.29827389784285346,8,Stable,Stable,True
FBN2,-0.048598875420579855,0.26411046653154974,4,-0.9096908665526113,0.9932705984193124,6,Stable,Down,False
FGA,0.7075108772488362,1.1404350224337512,10,-0.0734823590717257,0.1951804866185226,10,Up,Stable,False
FGB,0.8946244408992193,1.0006800159487972,8,-0.01553312204825622,0.2822827223356608,10,Up,Stable,False
FGF2,0.0018616693674311999,0.03226109660438056,2,-0.08681714936851737,0.20933633037946275,3,Stable,Stable,True
FGG,0.8766169966808385,1.169029458215912,8,0.02329544657844685,0.3009943884837091,10,Up,Stable,False
FGL2,-0.2131744039929416,0.42220990626844285,3,-0.34539704519844355,0.2763116688850539,2,Stable,Stable,True
FMOD,-0.3198289781519718,0.4055122980089846,6,-0.13137955064740983,0.2924688266910512,6,Stable,Stable,True
FN1,0.22887931114768018,0.5819360166150886,8,-0.15823022522173855,0.19035764638184915,12,Stable,Stable,True
FSTL1,-0.194296005335588,0.0738857171180873,4,-0.07485238822889223,0.030967278501194406,3,Stable,Stable,True
GPC1,-0.302874852039222,0.14377294201624494,5,0.04320813142432292,0.18069789564747193,9,Stable,Stable,True
GPC4,-0.06158339248611884,0.1492053068320327,2,-0.02322387131941654,0.15476343370098025,7,Stable,Stable,True
HAPLN1,0.07003082493605253,0.43183428184278,4,-0.07104890543588908,0.23625979344847606,3,Stable,Stable,True
HCFC1,-0.5764668059041833,0.056922153390766235,2,-0.06855385798189241,0.12533511552885251,6,Down,Stable,False
HMCN1,-0.2636704084857344,0.8369797263731764,4,-0.2428333189060464,0.017319621241632326,2,Stable,Stable,True
HPX,1.0050720136416453,1.1270202413809747,8,0.2547139354232354,0.17502681448395133,7,Up,Stable,False
HRG,0.6332291739319413,0.8700782441100567,8,0.4340400790994216,0.4271247735399993,4,Up,Stable,False
HSPG2,-0.09075654025186997,0.17520284660285912,8,0.028346594279217863,0.10007049213989637,7,Stable,Stable,True
HTRA1,0.449299675319099,0.3799134044547691,6,0.21231720904722895,0.2121604585391295,6,Stable,Stable,True
IGF2,-0.060079336822392554,0.040268537061629944,2,-0.06561966040390814,0.0569582183850241,3,Stable,Stable,True
IGFBP5,-0.21486714605610127,0.19489046986397826,3,0.18557086252393934,0.21496748707686147,5,Stable,Stable,True
IGFBP6,-0.09932665715568889,0.27357107006391146,2,-0.014002450174827633,0.10075345249814109,3,Stable,Stable,True
IGFBP7,-0.060679273359633586,0.48563691522404884,6,-0.14112007099651122,0.13836782813927767,5,Stable,Stable,True
ITIH1,0.6863276009367996,1.0573837488130422,8,0.2909429864644094,0.35213431097199344,9,Up,Stable,False
ITIH2,0.9440918080613498,1.5170691115600161,5,0.06118215452155965,0.22957810196039263,6,Up,Stable,False
ITIH3,0.4564250217936337,0.5207544407867412,5,0.42434903877907776,0.2652445763209252,8,Stable,Stable,True
ITIH4,0.5912591915744231,1.164031929982636,10,0.1852185079235383,0.15618094624387968,8,Up,Stable,False
ITIH5,-0.2880071297414567,0.17410930157914667,6,-0.03519755996726234,0.13372898071335723,9,Stable,Stable,True
KERA,-0.19371578322474844,0.3636102514940683,2,-0.9703460258673459,0.10851723458807923,4,Stable,Down,False
KNG1,0.6527320983499096,0.8932763624584169,7,0.11256351849967099,0.11974633685224553,10,Up,Stable,False
LAMA1,-0.1181522057790669,0.17307503852732276,2,0.018822660864926025,0.1186414352757316,4,Stable,Stable,True
LAMA2,-0.14783380022847106,0.27297605038463274,6,-0.022670758865966357,0.2725962189750721,10,Stable,Stable,True
LAMA3,-0.30427703125248445,0.30778187774421195,3,-0.0564340608693234,0.10578750536726429,6,Stable,Stable,True
LAMA4,-0.1450781770162956,0.24400060064641008,8,-0.15405418915463637,0.17324827078274785,10,Stable,Stable,True
LAMA5,-0.10840926181449186,0.2791986324496139,8,0.07651863119575038,0.1535204695674861,10,Stable,Stable,True
LAMB1,-0.390870314170709,0.7730790805112097,8,-0.2469042013098733,0.24961572095223375,10,Stable,Stable,True
LAMB2,-0.20265053950050493,0.2871580813775558,8,0.140951961234512,0.14808765636899626,10,Stable,Stable,True
LAMC1,0.028977399988155524,0.41416666887981285,8,0.06345058319046808,0.20941278010604347,7,Stable,Stable,True
LGALS1,-0.06786786178979512,0.659005295447003,8,0.0730526745699959,0.1668695674741643,10,Stable,Stable,True
LGALS3,-0.23868391246755372,0.5999059624766984,8,0.21783895184111568,0.2651795620220999,3,Stable,Stable,True
LGALS8,-0.1470310714214501,0.4414176635819633,3,-0.1354048799510473,0.13317412626255853,3,Stable,Stable,True
LMAN1,0.004943893402808086,0.414445380647886,5,-0.07955798722231666,0.09973823804089135,5,Stable,Stable,True
LOXL1,0.6937783601977471,0.5156736914516284,2,0.05357687188260499,0.3289446284908877,2,Up,Stable,False
LOXL2,-0.2710444761232375,0.19659601051019374,3,-0.133187045067201,0.3422921636896404,4,Stable,Stable,True
LTBP1,0.2513254655091098,0.2552445981001027,4,-0.07047235731183844,0.22593566414495453,6,Stable,Stable,True
LTBP2,0.10613808308582119,0.08917585538738172,4,-0.3369861601184021,0.33762507016373566,2,Stable,Stable,True
LTBP4,-0.11229399272914997,0.37390050296071015,6,-0.4602445238722049,0.3431833538681813,6,Stable,Stable,True
LUM,-0.13042318426503624,0.46892223679078926,8,-0.014859645458889459,0.3002112405613911,10,Stable,Stable,True
MATN2,-0.10245008121132655,0.5749092181575312,9,-0.12204752564099544,0.2705394520999892,5,Stable,Stable,True
MATN4,-0.1368106349372141,0.29727513227409086,3,-0.2386269867270674,0.13112490531424942,3,Stable,Stable,True
MBL2,-0.05929735442904294,0.32165841024641634,2,-0.0696732666800559,0.45864326578424497,6,Stable,Stable,True
MFAP4,-0.04023334539436835,1.0642150142617604,5,-0.021715075969663378,0.2025723728776008,4,Stable,Stable,True
MFAP5,-0.49310269876150215,0.31178448774839346,3,-0.11924546643454853,0.6138850772593863,3,Stable,Stable,True
MFGE8,-0.005564395526405784,0.2257680557376397,7,0.4329152409585449,0.44427483223387576,10,Stable,Stable,True
MGP,-0.05336135752981025,0.6624218671434584,4,0.14633013047034,0.14025698088685054,2,Stable,Stable,True
MMP2,0.5809673122778218,0.7814185677080955,4,-0.02154012049846966,0.14215337561713318,3,Up,Stable,False
MMRN2,-0.10955719663493735,0.21108062081256188,6,-0.11093507459275198,0.10205037238497147,7,Stable,Stable,True
NID1,-0.1411687651239464,0.320404984676175,8,-0.007680441364159135,0.19327442527939953,10,Stable,Stable,True
NID2,-0.2573734230501411,0.5240819571377744,8,-0.11713774042993925,0.18304756099555958,10,Stable,Stable,True
NPNT,0.05159754041017438,0.4236258838834668,4,0.0352407272595094,0.24520681638267047,2,Stable,Stable,True
OGN,0.17540713080062043,0.2784422165642754,8,0.012824694567946462,0.1891271759512378,8,Stable,Stable,True
P3H1,-0.5164161189550107,0.7101649876738412,5,-0.2177785951956807,0.05104163162134405,2,Down,Stable,False
P4HA1,-0.27815130749453176,0.2751135107571704,5,-0.14481574281060322,0.13204235824862792,4,Stable,Stable,True
PAPLN,-0.04656262493122482,0.46827897709439864,7,0.14999218593013172,0.22305885324047783,5,Stable,Stable,True
PCOLCE,-0.28687092978059164,0.46858682139261765,4,-0.8249345752651845,0.8354528957259115,8,Stable,Down,False
PCOLCE2,-0.011253735584990368,0.09219707168817448,3,0.25004956679272483,0.11682190603441894,2,Stable,Stable,True
PLG,0.8340519123414248,1.3021901640376823,8,0.0285395569753484,0.06890814729540447,8,Up,Stable,False
PLOD1,0.10890747088501046,0.19693995924173646,4,-0.19877750739666653,0.032436561628316825,3,Stable,Stable,True
PLXDC2,0.17504197831317672,0.15739161483670552,3,-0.022827464873917902,0.0870826064100227,5,Stable,Stable,True
PLXNB2,0.0024972342011515547,0.38937319676243715,2,-0.10543440114765527,0.13058652123306896,6,Stable,Stable,True
PODN,0.25969911617445274,1.0370129539854953,2,-0.0900297749020446,0.028555527428716164,3,Stable,Stable,True
POSTN,0.30232196370101705,0.8677614442551591,8,-0.2931370628254711,0.6376130615596891,9,Stable,Stable,True
PRELP,0.051389483790773995,0.2525871241502439,8,0.0034399486581073503,0.2614270992646981,10,Stable,Stable,True
PRG2,1.2800359514387322e-05,0.25643732378715817,4,0.02257030986898943,0.1801481042089125,9,Stable,Stable,True
PTN,-0.1705935744517522,0.48248754763555757,3,-0.10832824796272161,0.03516074665063896,2,Stable,Stable,True
PXDN,0.04964033702233865,0.39368217772938735,8,-0.3760570618204606,0.32160776114930717,7,Stable,Stable,True
S100A1,-0.19408738246277257,0.20903068579264653,4,0.06664291970185453,0.02297721517068979,4,Stable,Stable,True
S100A10,-0.048906274071570055,0.6359001164257395,6,-0.041437857063096,0.21095439155650034,6,Stable,Stable,True
S100A11,-0.17955150035647158,0.3522839544509097,7,-0.03729843049084935,0.09407372606087225,6,Stable,Stable,True
S100A13,-0.1836507250872749,0.24323198419692524,5,-0.020891183373268066,0.1428292636912952,5,Stable,Stable,True
S100A16,-0.15188232525836945,0.13538186395931417,4,-0.0070990098857849505,0.17696053756113855,4,Stable,Stable,True
S100A4,-0.038305191757887,0.20547656615757978,4,0.05155303209049945,0.18730830315713923,4,Stable,Stable,True
S100A6,-0.03548778143380882,0.18243155801590863,4,0.2158892192116991,0.10235078661011966,6,Stable,Stable,True
S100A9,0.2156586334038839,0.44528292171087863,11,0.03203235223217935,0.1623518917537524,6,Stable,Stable,True
S100B,0.09911267055447555,0.16122555748171805,2,0.022261024015905333,0.07558099443095648,3,Stable,Stable,True
SDC1,-0.10801780693797208,0.5758004284875541,2,0.10702264354707165,0.04139961306450186,2,Stable,Stable,True
SDC2,0.10950540745080965,0.30197309485983836,4,-0.0694464030634746,0.03526977042784577,2,Stable,Stable,True
SEMA3B,-0.03677307846462818,0.439795996670321,5,-0.09664547267262641,0.14794786215683922,2,Stable,Stable,True
SEMA3C,0.05338921741330199,0.2602547179143767,4,0.484129409588238,0.23829366352078774,4,Stable,Stable,True
SERPINA10,0.9728885696047098,0.02219051919273985,2,0.15885805522263724,0.11761346671975623,2,Up,Stable,False
SERPINA6,0.9884111368166959,0.6805541737716406,5,0.03136021015611905,0.25600865993550104,5,Up,Stable,False
SERPINB8,-0.4006495341540937,0.1396661284404754,3,-0.007852222170197135,0.15333351508820908,9,Stable,Stable,True
SERPINC1,0.6917881033815407,1.428194084767489,8,0.14856839188312582,0.14857273424183404,10,Up,Stable,False
SERPIND1,0.6416155630658317,0.8597446669079688,7,0.035837727153276995,0.08494407167066162,6,Up,Stable,False
SERPINE2,0.4082565941477477,0.2958116764011817,4,0.15593328115821117,0.30665160746017184,9,Stable,Stable,True
SERPINF1,0.29400338022487926,0.8929813362556182,10,-0.610669676941451,0.6476871528842686,8,Stable,Down,False
SERPINF2,0.6314849186405268,0.8502314817746149,8,0.0957495555138868,0.3211690394657384,8,Up,Stable,False
SERPING1,0.12024208660375191,0.4634427836317911,10,-0.03648639708044182,0.18277454255667633,5,Stable,Stable,True
SERPINH1,-0.3356702643667253,0.7614474349423677,8,-0.5734625551659356,0.47795110841283356,10,Stable,Down,False
SFRP1,0.3353492499187324,0.49898693442867975,2,0.14062458045705759,0.04232887233286601,2,Stable,Stable,True
SLIT3,-0.7101640506452735,0.8030237281470519,3,-0.0870360918548148,0.04354332199478271,2,Down,Stable,False
SMOC2,-0.044480239963431104,0.1721974817542947,5,0.8698545566693374,1.3427312493762484,4,Stable,Up,False
SPARC,-0.033831372794234364,0.5233593592817142,5,-0.38159562049404555,0.4367544733222217,9,Stable,Stable,True
SPON1,0.14653726475401618,0.7458819023070449,4,-0.016252213570134018,0.12337774350131037,5,Stable,Stable,True
SRPX,0.06704858255811784,0.9536558349119675,4,0.45259696461881926,0.4588222738067495,2,Stable,Stable,True
SRPX2,0.015580860053251835,0.15879324859018257,4,0.0198693315320559,0.11201224365718944,2,Stable,Stable,True
TGFBI,-0.09712594604797924,0.2305004251822381,10,0.07045155113204142,0.19883246230814358,9,Stable,Stable,True
TGM1,0.024853322532024658,0.25767229325940794,2,-0.10632911182155845,0.021566345851564105,2,Stable,Stable,True
TGM2,-0.10744887936230976,0.1678276237694258,7,-0.08158615364115437,0.20808605585978512,10,Stable,Stable,True
THBS1,-0.11277261616617247,0.4013864435832915,5,0.3902979874342554,0.7860988911252254,4,Stable,Stable,True
THBS3,0.02328953190508315,1.1028971121041324,4,-0.34997542249416635,0.23750289283079498,2,Stable,Stable,True
THBS4,-0.06547726530266972,0.3050220137068592,4,0.029260606884920486,0.30622849739553615,8,Stable,Stable,True
TIMP2,-0.04418391496097246,0.08238392239537384,3,-0.052504176311031645,0.004876543558694911,2,Stable,Stable,True
TINAGL1,0.0527392572069347,0.42305179427942036,8,0.057000514412854156,0.22105896472347097,10,Stable,Stable,True
TNC,-0.2598270242198434,0.3420216532582729,7,-0.1875164477187975,0.4143224174621154,9,Stable,Stable,True
TNXB,-0.881020978236574,0.5531500223883751,6,0.08266950738535989,0.24884512947773862,2,Down,Stable,False
VCAN,-0.17802976312669833,0.27691884696859,10,-0.002673110899252563,0.14243610658102088,6,Stable,Stable,True
VTN,1.318911080793891,1.1386137183968619,8,0.2537413164355531,0.2227112217068564,8,Up,Stable,False
VWA1,-0.30425662999667724,0.2318938999103431,7,0.016115859332997598,0.15574262738545247,10,Stable,Stable,True
VWF,0.07895957721354795,0.6525893225282673,6,0.07037326428272483,0.22191199242821016,5,Stable,Stable,True
